sample_accession	individual_id	breed	sex	run_accession	library_layout	library_strategy	library_source	study_accession	scientific_name	tax_id	instrument_platform	instrument_model
SAMEA4504829	Entlebucher Sennenhund 3	Entlebucher Sennenhund	M	SRR7107598	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMEA4504832	Bearded Collie 7	Bearded Collie	M	SRR7107601	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMEA4505492	Bearded Collie 2	Bearded Collie	M	SRR7107609	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4505496	Bearded Collie 6	Bearded Collie	M	SRR7107613	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4505497	Entlebucher Sennenhund 2	Entlebucher Sennenhund	M	SRR7107614	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4505498	Entlebucher Sennenhund 4	Entlebucher Sennenhund	M	SRR7107615	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4505499	Entlebucher Sennenhund 6	Entlebucher Sennenhund	M	SRR7107616	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4505501	Entlebucher Sennenhund 8	Entlebucher Sennenhund	M	SRR7107618	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMEA4506900	English Cocker Spaniel 1	English Cocker Spaniel	M	SRR7107632	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMEA4509489	West Highland White Terrier 10	West Highland White Terrier	M	SRR7107636	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2500
SAMEA72802168	German Shepherd Dog 2	German Shepherd Dog	F	SRR7107640	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 3000
SAMN01974488	Grey Wolf 3	Grey Wolf	F	SRR7107647	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina Genome Analyzer IIx
SAMN02570458	Tibetan Mastiff - China 1	Tibetan Mastiff - China	M	SRR1105792	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585156	Tibetan Mastiff - China 6	Tibetan Mastiff - China	M	SRR1138364	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585158	Tibetan Mastiff - China 8	Tibetan Mastiff - China	F	SRR1138367	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585159	Tibetan Mastiff - China 9	Tibetan Mastiff - China	F	SRR1138368	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585191	Kunming Dog 1	Kunming Dog	F	SRR1134656	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 1500
SAMN02585192	Kunming Dog 2	Kunming Dog	F	SRR1135309	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585195	Kunming Dog 5	Kunming Dog	F	SRR1137093	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585196	Kunming Dog 6	Kunming Dog	M	SRR1138308	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585197	Kunming Dog 7	Kunming Dog	M	SRR1138309	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585201	German Shepherd Dog 5	German Shepherd Dog	F	SRR1122359	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585202	German Shepherd Dog 6	German Shepherd Dog	M	SRR1124049	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02585203	German Shepherd Dog 7	German Shepherd Dog	F	SRR1124304	PAIRED	WGS	GENOMIC	PRJNA233638	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN02921306	English Cocker Spaniel 5	English Cocker Spaniel	M	SRR7107774	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 1000
SAMN02921311	Grey Wolf 10	Grey Wolf	M	SRR7107777	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus	9612	ILLUMINA	Illumina HiSeq 1500
SAMN03067872	Greyhound 2	Greyhound	M	SRR7107789	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03067873	Greyhound 3	Greyhound	M	SRR7107790	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03067874	Greyhound 6	Greyhound	M	SRR7107791	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03067882	Greyhound 4	Greyhound	M	SRR7107794	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03067891	Golden Retriever 8	Golden Retriever	M	SRR7107796	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03068229	Greyhound 5	Greyhound	F	SRR7107800	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03168393	Grey Wolf 26	Grey Wolf	M	SRR7107845	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus	9612	ILLUMINA	Illumina HiSeq 2000
SAMN03168398	Grey Wolf 24	Grey Wolf	F	SRR7107850	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus	9612	ILLUMINA	Illumina HiSeq 2000
SAMN03168400	Grey Wolf 25	Grey Wolf	M	SRR7107852	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus	9612	ILLUMINA	Illumina HiSeq 2000
SAMN03323673	English Cocker Spaniel 4	English Cocker Spaniel	F	SRR1784124	PAIRED	WGS	GENOMIC	PRJNA263947	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03580392	German Shepherd Dog 15	German Shepherd Dog	M	SRR7107884	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03580397	West Highland White Terrier 5	West Highland White Terrier	F	SRR7107889	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03580399	Labrador Retriever 18	Labrador Retriever	F	SRR7107891	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03580402	Golden Retriever 18	Golden Retriever	M	SRR7107894	PAIRED	WGS	GENOMIC	PRJNA448733	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03801644	Beagle 2	Beagle	M	SRR2094385	PAIRED	WGS	GENOMIC	PRJNA288568	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03801646	Belgian Sheepdog 1	Belgian Sheepdog	F	SRR2095368	PAIRED	WGS	GENOMIC	PRJNA288568	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
SAMN03801650	Border Collie 12	Border Collie	M	SRR2094387	PAIRED	WGS	GENOMIC	PRJNA288568	Canis lupus familiaris	9615	ILLUMINA	Illumina Genome Analyzer IIx
SAMN03801660	American Cocker Spaniel 1	Cocker Spaniel (American)	F	SRR2095479	PAIRED	WGS	GENOMIC	PRJNA288568	Canis lupus familiaris	9615	ILLUMINA	Illumina HiSeq 2000
